player_id,player_name,previous_club,current_club,transfer_date,transfer_type,current_fpl_team,database_team,team_match,current_registration_status
492,Taiwo Awoniyi (Awoniyi),Nott'm Forest,Coventry City,2026-08-17,Permanent Transfer / Registration Update,Coventry City,Nott'm Forest,MISMATCH_BEFORE_SYNC,Active
3,Illan Meslier (Meslier),Previous Club / Historical,Arsenal,2026-07-09,2026 Summer Transfer,Arsenal,Arsenal,MATCH,Active
9,Piero Hincapié (Hincapie),Previous Club / Historical,Arsenal,2026-07-01,2026 Summer Transfer,Arsenal,Arsenal,MATCH,Active
452,Bruno Guimarães Rodriguez Moura (Bruno G.),Previous Club / Historical,Arsenal,2026-08-08,2026 Summer Transfer,Arsenal,Arsenal,MATCH,Active
557,Christos Tzolis (Tzolis),Previous Club / Historical,Arsenal,2026-07-23,2026 Summer Transfer,Arsenal,Arsenal,MATCH,Active
52,Alysson Edward Franco da Rocha dos Santos (Alysson),Previous Club / Historical,Aston Villa,2026-01-01,2026 Summer Transfer,Aston Villa,Aston Villa,MATCH,Active
53,Johan Manzambi (Manzambi),Previous Club / Historical,Aston Villa,2026-07-17,2026 Summer Transfer,Aston Villa,Aston Villa,MATCH,Active
54,Joao Gomes (Gomes),Previous Club / Historical,Aston Villa,2026-07-20,2026 Summer Transfer,Aston Villa,Aston Villa,MATCH,Active
56,Tammy Abraham (Abraham),Previous Club / Historical,Aston Villa,2026-01-27,2026 Summer Transfer,Aston Villa,Aston Villa,MATCH,Active
160,Alejandro Garnacho Ferreyra (Garnacho),Previous Club / Historical,Aston Villa,2026-07-23,2026 Summer Transfer,Aston Villa,Aston Villa,MATCH,Active
582,Brian Madjo (Madjo),Previous Club / Historical,Aston Villa,2026-01-12,2026 Summer Transfer,Aston Villa,Aston Villa,MATCH,Active
596,Matteo Ruggeri (Ruggeri),Previous Club / Historical,Aston Villa,2026-08-19,2026 Summer Transfer,Aston Villa,Aston Villa,MATCH,Active
597,Zion Suzuki (Suzuki),Previous Club / Historical,Aston Villa,2026-08-19,2026 Summer Transfer,Aston Villa,Aston Villa,MATCH,Active
58,Fraser Forster (Forster),Previous Club / Historical,Bournemouth,2026-01-02,2026 Summer Transfer,Bournemouth,Bournemouth,MATCH,Active
67,Rayan Vitor Simplício Rocha (Rayan),Previous Club / Historical,Bournemouth,2026-01-27,2026 Summer Transfer,Bournemouth,Bournemouth,MATCH,Active
76,Alex Tóth (Tóth.A),Previous Club / Historical,Bournemouth,2026-01-20,2026 Summer Transfer,Bournemouth,Bournemouth,MATCH,Active
81,Álvaro Rodríguez (Rodríguez),Previous Club / Historical,Bournemouth,2026-07-14,2026 Summer Transfer,Bournemouth,Bournemouth,MATCH,Active
566,António João Pereira de Albuquerque Tavares da Silva (Silva),Previous Club / Historical,Bournemouth,2026-08-01,2026 Summer Transfer,Bournemouth,Bournemouth,MATCH,Active
573,Juanlu Sánchez (Sanchez),Previous Club / Historical,Bournemouth,2026-08-06,2026 Summer Transfer,Bournemouth,Bournemouth,MATCH,Active
93,Jannik Schuster (Schuster),Previous Club / Historical,Brentford,2026-06-15,2026 Summer Transfer,Brentford,Brentford,MATCH,Active
105,Jaidon Anthony (Anthony),Previous Club / Historical,Brentford,2026-07-07,2026 Summer Transfer,Brentford,Brentford,MATCH,Active
107,Kaye Furo (Furo),Previous Club / Historical,Brentford,2026-01-11,2026 Summer Transfer,Brentford,Brentford,MATCH,Active
108,Callum Wilson (Wilson),Previous Club / Historical,Brentford,2026-07-09,2026 Summer Transfer,Brentford,Brentford,MATCH,Active
565,Mamadou Sangaré (Sangaré),Previous Club / Historical,Brentford,2026-08-01,2026 Summer Transfer,Brentford,Brentford,MATCH,Active
119,João Pedro Loureiro da Costa (Costinha),Previous Club / Historical,Brighton,2026-06-15,2026 Summer Transfer,Brighton,Brighton,MATCH,Active
120,Michael Svoboda (Svoboda),Previous Club / Historical,Brighton,2026-07-02,2026 Summer Transfer,Brighton,Brighton,MATCH,Active
124,Pascal Groß (Groß),Previous Club / Historical,Brighton,2026-01-02,2026 Summer Transfer,Brighton,Brighton,MATCH,Active
135,Zadok Yohanna (Yohanna),Previous Club / Historical,Brighton,2026-06-15,2026 Summer Transfer,Brighton,Brighton,MATCH,Active
328,Pascal Struijk (Struijk),Previous Club / Historical,Brighton,2026-06-30,2026 Summer Transfer,Brighton,Brighton,MATCH,Active
504,Luka Vušković (Vuskovic),Previous Club / Historical,Brighton,2026-07-14,2026 Summer Transfer,Brighton,Brighton,MATCH,Active
594,Promise David (David),Previous Club / Historical,Brighton,2026-08-18,2026 Summer Transfer,Brighton,Brighton,MATCH,Active
40,Morgan Rogers (Rogers),Previous Club / Historical,Chelsea,2026-07-21,2026 Summer Transfer,Chelsea,Chelsea,MATCH,Active
101,Jordan Henderson (Henderson),Previous Club / Historical,Chelsea,2026-08-03,2026 Summer Transfer,Chelsea,Chelsea,MATCH,Active
136,Danny Welbeck (Welbeck),Previous Club / Historical,Chelsea,2026-08-01,2026 Summer Transfer,Chelsea,Chelsea,MATCH,Active
152,Marco Palestra (Palestra),Previous Club / Historical,Chelsea,2026-07-01,2026 Summer Transfer,Chelsea,Chelsea,MATCH,Active
